,Data,Time,Home,Score,Away,Venue,Season
32,Sat 4 Oct,15:15,Gloucester Rugby,33-16,Leicester Tigers,Kingsholm,2014-2015
33,Sun 5 Oct,14:00,Sale Sharks,25-14,Wasps,AJ Bell Stadium,2014-2015
34,Sun 5 Oct,15:00,Newcastle Falcons,29-24,Exeter Chiefs,Kingston Park,2014-2015
36,Fri 10 Oct,19:45,Leicester Tigers,22-16,Harlequins,Welford Road,2014-2015
37,Sat 11 Oct,14:30,London Welsh,3-23,Newcastle Falcons,Kassam Stadium,2014-2015
38,Sat 11 Oct,15:00,Exeter Chiefs,44-24,London Irish,Sandy Park,2014-2015
39,Sat 11 Oct,15:00,Saracens,28-21,Gloucester Rugby,Allianz Park,2014-2015
40,Sat 11 Oct,15:15,Northampton Saints,43-10,Sale Sharks,Franklin's Gardens,2014-2015
41,Sun 12 Oct,14:00,Wasps,29-22,Bath Rugby,Adams Park,2014-2015
43,Fri 14 Nov,19:45,Gloucester Rugby,15-22,Harlequins,Kingsholm,2014-2015
44,Fri 14 Nov,19:45,Northampton Saints,18-24,Exeter Chiefs,Franklin's Gardens,2014-2015
45,Sat 15 Nov,12:00,Sale Sharks,36-8,London Irish,AJ Bell Stadium,2014-2015
46,Sat 15 Nov,17:00,Bath Rugby,23-14,Newcastle Falcons,Recreation Ground,2014-2015
47,Sun 16 Nov,13:00,Leicester Tigers,21-21,Saracens,Welford Road,2014-2015
48,Sun 16 Nov,15:15,Wasps,71-7,London Welsh,Adams Park,2014-2015
50,Fri 21 Nov,19:45,Harlequins,12-16,Sale Sharks,Twickenham Stoop,2014-2015
51,Fri 21 Nov,20:00,Newcastle Falcons,20-10,Gloucester Rugby,Kingston Park,2014-2015
52,Sat 22 Nov,15:00,Exeter Chiefs,31-15,Wasps,Sandy Park,2014-2015
53,Sat 22 Nov,15:00,London Irish,23-33,Bath Rugby,Madejski Stadium,2014-2015
54,Sun 23 Nov,13:00,Saracens,24-31,Northampton Saints,Allianz Park,2014-2015
55,Sun 23 Nov,15:15,London Welsh,5-26,Leicester Tigers,Kassam Stadium,2014-2015
57,Fri 28 Nov,19:45,Bath Rugby,25-6,Harlequins,Recreation Ground,2014-2015
58,Sat 29 Nov,15:00,Leicester Tigers,18-16,Wasps,Welford Road,2014-2015
59,Sat 29 Nov,16:30,Exeter Chiefs,27-19,Saracens,Sandy Park,2014-2015
60,Sun 30 Nov,13:00,London Irish,9-21,Gloucester Rugby,Madejski Stadium,2014-2015
61,Sun 30 Nov,14:30,London Welsh,14-43,Northampton Saints,Kassam Stadium,2014-2015
62,Sun 30 Nov,15:15,Newcastle Falcons,13-18,Sale Sharks,Kingston Park,2014-2015
64,Fri 19 Dec,19:45,Sale Sharks,18-11,Exeter Chiefs,AJ Bell Stadium,2014-2015
65,Sat 20 Dec,15:00,Harlequins,15-7,Newcastle Falcons,Twickenham Stoop,2014-2015
66,Sat 20 Dec,15:00,Saracens,78-7,London Welsh,Allianz Park,2014-2015
67,Sat 20 Dec,15:15,Northampton Saints,23-19,Leicester Tigers,Franklin's Gardens,2014-2015
68,Sat 20 Dec,17:30,Gloucester Rugby,16-39,Bath Rugby,Kingsholm,2014-2015
69,Sun 21 Dec,14:00,Wasps,48-16,London Irish,Ricoh Arena,2014-2015
71,Fri 26 Dec,15:00,London Irish,24-9,London Welsh,Madejski Stadium,2014-2015
72,Sat 27 Dec,14:00,Bath Rugby,31-14,Exeter Chiefs,Recreation Ground,2014-2015
73,Sat 27 Dec,14:00,Sale Sharks,30-32,Leicester Tigers,AJ Bell Stadium,2014-2015
74,Sat 27 Dec,15:00,Newcastle Falcons,23-25,Saracens,Kingston Park,2014-2015
75,Sat 27 Dec,16:30,Harlequins,25-30,Northampton Saints,Twickenham Stadium,2014-2015
76,Sun 28 Dec,14:30,Gloucester Rugby,23-30,Wasps,Kingsholm,2014-2015
78,Fri 2 Jan,19:45,Northampton Saints,39-31,Newcastle Falcons,Franklin's Gardens,2014-2015
79,Sat 3 Jan,14:00,Saracens,22-6,London Irish,Allianz Park,2014-2015
80,Sat 3 Jan,16:30,Exeter Chiefs,25-26,Gloucester Rugby,Sandy Park,2014-2015
81,Sun 4 Jan,14:00,Leicester Tigers,17-8,Bath Rugby,Welford Road,2014-2015
82,Sun 4 Jan,14:00,Wasps,41-16,Sale Sharks,Ricoh Arena,2014-2015
83,Sun 4 Jan,14:30,London Welsh,13-24,Harlequins,Kassam Stadium,2014-2015
85,Fri 9 Jan,19:45,Gloucester Rugby,24-23,Saracens,Kingsholm,2014-2015
86,Sat 10 Jan,14:00,Sale Sharks,20-7,Northampton Saints,AJ Bell Stadium,2014-2015
87,Sat 10 Jan,15:00,Bath Rugby,39-26,Wasps,Recreation Ground,2014-2015
88,Sat 10 Jan,15:15,Harlequins,32-12,Leicester Tigers,Twickenham Stoop,2014-2015
89,Sun 11 Jan,14:00,Newcastle Falcons,38-7,London Welsh,Kingston Park,2014-2015
90,Sun 11 Jan,15:00,London Irish,28-26,Exeter Chiefs,Madejski Stadium,2014-2015
92,Fri 13 Feb,19:45,Leicester Tigers,18-15,Gloucester Rugby,Welford Road,2014-2015
93,Fri 13 Feb,19:45,Northampton Saints,15-9,London Irish,Franklin's Gardens,2014-2015
94,Sat 14 Feb,16:30,Exeter Chiefs,46-17,Newcastle Falcons,Sandy Park,2014-2015
95,Sun 15 Feb,13:00,London Welsh,12-52,Sale Sharks,Kassam Stadium,2014-2015
96,Sun 15 Feb,13:00,Saracens,34-24,Bath Rugby,Allianz Park,2014-2015
97,Sun 15 Feb,14:00,Wasps,37-6,Harlequins,Ricoh Arena,2014-2015
99,Fri 20 Feb,19:45,Newcastle Falcons,23-23,Wasps,Kingston Park,2014-2015
100,Sat 21 Feb,14:00,Sale Sharks,14-10,Saracens,AJ Bell Stadium,2014-2015
101,Sat 21 Feb,15:00,Gloucester Rugby,48-10,London Welsh,Kingsholm,2014-2015
102,Sat 21 Feb,15:00,Harlequins,21-32,Exeter Chiefs,Twickenham Stoop,2014-2015
103,Sat 21 Feb,15:15,Bath Rugby,13-21,Northampton Saints,Recreation Ground,2014-2015
104,Sun 22 Feb,14:00,London Irish,6-12,Leicester Tigers,Madejski Stadium,2014-2015
106,Fri 27 Feb,19:45,Northampton Saints,17-13,Harlequins,Franklin's Gardens,2014-2015
107,Sat 28 Feb,14:30,London Welsh,12-50,London Irish,Kassam Stadium,2014-2015
108,Sat 28 Feb,15:00,Leicester Tigers,28-8,Sale Sharks,Welford Road,2014-2015
109,Sat 28 Feb,15:00,Saracens,22-17,Newcastle Falcons,Allianz Park,2014-2015
110,Sat 28 Feb,15:15,Exeter Chiefs,16-6,Bath Rugby,Sandy Park,2014-2015
111,Sun 1 Mar,13:00,Wasps,32-21,Gloucester Rugby,Ricoh Arena,2014-2015
113,Fri 6 Mar,19:45,Bath Rugby,12-3,Sale Sharks,Recreation Ground,2014-2015
114,Sat 7 Mar,15:00,Exeter Chiefs,74-19,London Welsh,Sandy Park,2014-2015
115,Sat 7 Mar,15:00,Harlequins,26-20,London Irish,Twickenham Stoop,2014-2015
116,Sat 7 Mar,15:15,Gloucester Rugby,33-33,Northampton Saints,Kingsholm,2014-2015
117,Sun 8 Mar,14:00,Wasps,17-26,Saracens,Ricoh Arena,2014-2015
118,Sun 8 Mar,15:00,Newcastle Falcons,12-16,Leicester Tigers,Kingston Park,2014-2015
120,Fri 27 Mar,19:45,Northampton Saints,52-30,Wasps,Franklin's Gardens,2014-2015
121,Sat 28 Mar,15:00,Leicester Tigers,25-18,Exeter Chiefs,Welford Road,2014-2015
122,Sat 28 Mar,15:00,London Irish,22-21,Newcastle Falcons,Madejski Stadium,2014-2015
123,Sat 28 Mar,15:15,Saracens,42-14,Harlequins,Wembley Stadium,2014-2015
124,Sun 29 Mar,14:00,Sale Sharks,23-6,Gloucester Rugby,AJ Bell Stadium,2014-2015
125,Sun 29 Mar,14:30,London Welsh,14-29,Bath Rugby,Kassam Stadium,2014-2015
127,Fri 10 Apr,19:45,Newcastle Falcons,19-29,Bath Rugby,Kingston Park,2014-2015
128,Sat 11 Apr,15:00,Harlequins,29-26,Gloucester Rugby,Twickenham Stoop,2014-2015
129,Sat 11 Apr,15:15,Saracens,22-6,Leicester Tigers,Allianz Park,2014-2015
130,Sun 12 Apr,14:00,Exeter Chiefs,21-10,Northampton Saints,Sandy Park,2014-2015
131,Sun 12 Apr,14:30,London Welsh,13-40,Wasps,Kassam Stadium,2014-2015
132,Sun 12 Apr,15:00,London Irish,25-23,Sale Sharks,Madejski Stadium,2014-2015
134,Fri 24 Apr,19:45,Bath Rugby,43-18,London Irish,Recreation Ground,2014-2015
135,Sat 25 Apr,14:00,Sale Sharks,23-25,Harlequins,AJ Bell Stadium,2014-2015
136,Sat 25 Apr,15:00,Gloucester Rugby,42-40,Newcastle Falcons,Kingsholm,2014-2015
137,Sat 25 Apr,15:00,Leicester Tigers,38-17,London Welsh,Welford Road,2014-2015
138,Sat 25 Apr,15:15,Northampton Saints,25-20,Saracens,stadiummk,2014-2015
139,Sun 26 Apr,14:00,Wasps,36-29,Exeter Chiefs,Ricoh Arena,2014-2015
141,Fri 8 May,19:45,Harlequins,26-27,Bath Rugby,Twickenham Stoop,2014-2015
142,Sat 9 May,14:00,Sale Sharks,34-28,Newcastle Falcons,AJ Bell Stadium,2014-2015
143,Sat 9 May,15:00,Gloucester Rugby,35-13,London Irish,Kingsholm,2014-2015
144,Sat 9 May,15:15,Northampton Saints,46-0,London Welsh,Franklin's Gardens,2014-2015
145,Sat 9 May,15:15,Wasps,21-26,Leicester Tigers,Ricoh Arena,2014-2015
146,Sun 10 May,14:00,Saracens,20-24,Exeter Chiefs,Allianz Park,2014-2015
148,Sat 16 May,15:30,Bath Rugby,50-30,Gloucester Rugby,Recreation Ground,2014-2015
149,Sat 16 May,15:30,Exeter Chiefs,44-16,Sale Sharks,Sandy Park,2014-2015
150,Sat 16 May,15:30,Leicester Tigers,22-14,Northampton Saints,Welford Road,2014-2015
151,Sat 16 May,15:30,London Irish,40-40,Wasps,Madejski Stadium,2014-2015
152,Sat 16 May,15:30,London Welsh,17-68,Saracens,Kassam Stadium,2014-2015
153,Sat 16 May,15:30,Newcastle Falcons,37-21,Harlequins,Kingston Park,2014-2015
155,Sat 23 May,14:00,Northampton Saints,24-29,Saracens,Franklin's Gardens,2014-2015
156,Sat 23 May,17:00,Bath Rugby,47-10,Leicester Tigers,Recreation Ground,2014-2015
158,Sat 30 May,14:30,Bath Rugby,16-28,Saracens,Twickenham Stadium,2014-2015
1,Fri 16 Oct,19:45,Harlequins,26-21,Wasps,Twickenham Stoop,2015-2016
2,Fri 16 Oct,19:45,Worcester Warriors,13-12,Northampton Saints,Sixways,2015-2016
3,Fri 16 Oct,20:00,Newcastle Falcons,27-39,Gloucester Rugby,Kingston Park,2015-2016
4,Sat 17 Oct,14:00,Bath Rugby,19-17,Exeter Chiefs,Recreation Ground,2015-2016
5,Sat 17 Oct,14:00,Saracens,41-3,Sale Sharks,Allianz Park,2015-2016
6,Sun 18 Oct,15:15,London Irish,16-28,Leicester Tigers,Madejski Stadium,2015-2016
8,Fri 23 Oct,19:45,Gloucester Rugby,15-17,Saracens,Kingsholm,2015-2016
9,Fri 23 Oct,20:00,Sale Sharks,27-13,Worcester Warriors,AJ Bell Stadium,2015-2016
10,Sat 24 Oct,13:45,Northampton Saints,42-16,Newcastle Falcons,stadiummk,2015-2016
11,Sat 24 Oct,14:00,Wasps,16-9,Bath Rugby,Ricoh Arena,2015-2016
12,Sat 24 Oct,18:00,Exeter Chiefs,38-11,London Irish,Sandy Park,2015-2016
13,Sun 25 Oct,14:00,Leicester Tigers,22-19,Harlequins,Welford Road,2015-2016
15,Sat 31 Oct,13:00,Saracens,24-14,London Irish,Allianz Park,2015-2016
16,Sat 31 Oct,13:30,Bath Rugby,28-38,Harlequins,Recreation Ground,2015-2016
17,Sat 31 Oct,14:00,Gloucester Rugby,24-22,Worcester Warriors,Kingsholm,2015-2016
18,Sun 1 Nov,13:00,Newcastle Falcons,3-41,Exeter Chiefs,Kingston Park,2015-2016
19,Sun 1 Nov,14:30,Sale Sharks,20-13,Northampton Saints,AJ Bell Stadium,2015-2016
20,Sun 1 Nov,15:15,Leicester Tigers,24-16,Wasps,Welford Road,2015-2016
22,Fri 6 Nov,19:45,Harlequins,16-14,Sale Sharks,Twickenham Stoop,2015-2016
23,Sat 7 Nov,15:00,London Irish,14-45,Bath Rugby,Madejski Stadium,2015-2016
24,Sat 7 Nov,15:00,Worcester Warriors,28-20,Newcastle Falcons,Sixways,2015-2016
25,Sat 7 Nov,15:15,Northampton Saints,6-12,Saracens,Franklin's Gardens,2015-2016
26,Sat 7 Nov,17:30,Exeter Chiefs,19-6,Leicester Tigers,Sandy Park,2015-2016
27,Sun 8 Nov,15:00,Wasps,23-3,Gloucester Rugby,Ricoh Arena,2015-2016
29,Fri 27 Nov,19:45,Northampton Saints,15-3,Gloucester Rugby,Franklin's Gardens,2015-2016
30,Sat 28 Nov,14:30,Sale Sharks,15-15,Newcastle Falcons,AJ Bell Stadium,2015-2016
31,Sat 28 Nov,15:00,Exeter Chiefs,26-25,Harlequins,Sandy Park,2015-2016
32,Sat 28 Nov,15:15,Saracens,48-18,Worcester Warriors,Twickenham Stadium,2015-2016
33,Sat 28 Nov,17:30,London Irish,15-33,Wasps,Twickenham Stadium,2015-2016
34,Sun 29 Nov,15:00,Leicester Tigers,21-11,Bath Rugby,Welford Road,2015-2016
36,Fri 4 Dec,19:45,Gloucester Rugby,23-19,Sale Sharks,Kingsholm,2015-2016
37,Sat 5 Dec,15:00,Harlequins,38-7,London Irish,Twickenham Stoop,2015-2016
38,Sat 5 Dec,15:00,Worcester Warriors,20-29,Leicester Tigers,Sixways,2015-2016
39,Sat 5 Dec,15:15,Bath Rugby,11-13,Northampton Saints,Recreation Ground,2015-2016
40,Sat 5 Dec,17:30,Wasps,27-41,Exeter Chiefs,Ricoh Arena,2015-2016
41,Sun 6 Dec,15:00,Newcastle Falcons,3-38,Saracens,Kingston Park,2015-2016
43,Sat 26 Dec,14:30,London Irish,25-23,Northampton Saints,Madejski Stadium,2015-2016
44,Sat 26 Dec,15:00,Exeter Chiefs,33-17,Sale Sharks,Sandy Park,2015-2016
45,Sat 26 Dec,15:00,Leicester Tigers,22-10,Newcastle Falcons,Welford Road,2015-2016
46,Sun 27 Dec,14:00,Wasps,16-26,Saracens,Ricoh Arena,2015-2016
47,Sun 27 Dec,14:30,Bath Rugby,21-14,Worcester Warriors,Recreation Ground,2015-2016
48,Sun 27 Dec,16:30,Harlequins,39-39,Gloucester Rugby,Twickenham Stadium,2015-2016
50,Fri 1 Jan,15:00,Northampton Saints,8-3,Exeter Chiefs,Franklin's Gardens,2015-2016
51,Sat 2 Jan,15:00,Gloucester Rugby,27-14,London Irish,Kingsholm,2015-2016
52,Sat 2 Jan,15:00,Newcastle Falcons,19-14,Bath Rugby,Kingston Park,2015-2016
53,Sat 2 Jan,15:15,Saracens,26-6,Leicester Tigers,Allianz Park,2015-2016
54,Sat 2 Jan,17:30,Sale Sharks,15-9,Wasps,AJ Bell Stadium,2015-2016
55,Sun 3 Jan,15:00,Worcester Warriors,20-24,Harlequins,Sixways,2015-2016
57,Sat 9 Jan,15:00,Exeter Chiefs,19-10,Gloucester Rugby,Sandy Park,2015-2016
58,Sat 9 Jan,15:00,Harlequins,29-23,Saracens,Twickenham Stoop,2015-2016
59,Sat 9 Jan,15:15,Leicester Tigers,30-27,Northampton Saints,Welford Road,2015-2016
60,Sun 10 Jan,13:00,London Irish,20-15,Newcastle Falcons,Madejski Stadium,2015-2016
61,Sun 10 Jan,14:00,Wasps,32-22,Worcester Warriors,Ricoh Arena,2015-2016
63,Fri 29 Jan,19:45,Northampton Saints,11-24,Wasps,Franklin's Gardens,2015-2016
64,Sat 30 Jan,14:30,Sale Sharks,38-10,London Irish,AJ Bell Stadium,2015-2016
65,Sat 30 Jan,15:00,Gloucester Rugby,18-19,Leicester Tigers,Kingsholm,2015-2016
66,Sat 30 Jan,15:15,Saracens,19-13,Bath Rugby,Allianz Park,2015-2016
67,Sun 31 Jan,15:00,Newcastle Falcons,26-19,Harlequins,Kingston Park,2015-2016
68,Sun 31 Jan,15:00,Worcester Warriors,15-30,Exeter Chiefs,Sixways,2015-2016
70,Fri 5 Feb,19:45,Bath Rugby,11-15,Gloucester Rugby,Recreation Ground,2015-2016
71,Sat 6 Feb,14:00,Harlequins,23-27,Northampton Saints,Twickenham Stoop,2015-2016
72,Sat 6 Feb,14:00,Wasps,9-8,Newcastle Falcons,Ricoh Arena,2015-2016
73,Sat 6 Feb,15:00,Leicester Tigers,3-10,Sale Sharks,Welford Road,2015-2016
74,Sun 7 Feb,13:00,Exeter Chiefs,11-14,Saracens,Sandy Park,2015-2016
75,Sun 7 Feb,13:00,London Irish,20-13,Worcester Warriors,Madejski Stadium,2015-2016
77,Fri 12 Feb,19:45,Newcastle Falcons,26-14,Leicester Tigers,Kingston Park,2015-2016
78,Sat 13 Feb,14:30,Sale Sharks,23-17,Exeter Chiefs,AJ Bell Stadium,2015-2016
79,Sat 13 Feb,15:00,Gloucester Rugby,28-6,Harlequins,Kingsholm,2015-2016
80,Sat 13 Feb,15:00,Northampton Saints,35-7,London Irish,Franklin's Gardens,2015-2016
81,Sat 13 Feb,15:00,Worcester Warriors,14-16,Bath Rugby,Sixways,2015-2016
82,Sun 14 Feb,16:00,Saracens,23-64,Wasps,Allianz Park,2015-2016
84,Fri 19 Feb,19:45,Harlequins,25-19,Leicester Tigers,Twickenham Stoop,2015-2016
85,Sat 20 Feb,15:00,Saracens,25-12,Gloucester Rugby,Allianz Park,2015-2016
86,Sat 20 Feb,15:00,Worcester Warriors,31-23,Sale Sharks,Sixways,2015-2016
87,Sat 20 Feb,15:15,Bath Rugby,18-24,Wasps,Recreation Ground,2015-2016
88,Sun 21 Feb,15:00,London Irish,15-22,Exeter Chiefs,Madejski Stadium,2015-2016
89,Sun 21 Feb,15:00,Newcastle Falcons,26-25,Northampton Saints,Kingston Park,2015-2016
91,Sat 27 Feb,13:00,Sale Sharks,36-36,Saracens,AJ Bell Stadium,2015-2016
92,Sat 27 Feb,14:45,Northampton Saints,38-18,Worcester Warriors,Franklin's Gardens,2015-2016
93,Sat 27 Feb,15:00,Gloucester Rugby,32-6,Newcastle Falcons,Kingsholm,2015-2016
94,Sun 28 Feb,13:00,Exeter Chiefs,26-17,Bath Rugby,Sandy Park,2015-2016
95,Sun 28 Feb,15:00,Leicester Tigers,47-20,London Irish,Welford Road,2015-2016
96,Sun 28 Feb,15:15,Wasps,42-10,Harlequins,Ricoh Arena,2015-2016
98,Fri 4 Mar,19:45,Newcastle Falcons,14-15,Worcester Warriors,Kingston Park,2015-2016
99,Sat 5 Mar,14:30,Sale Sharks,29-23,Harlequins,AJ Bell Stadium,2015-2016
100,Sat 5 Mar,15:00,Gloucester Rugby,13-10,Wasps,Kingsholm,2015-2016
101,Sat 5 Mar,15:15,Bath Rugby,25-17,London Irish,Recreation Ground,2015-2016
102,Sat 5 Mar,15:15,Saracens,15-20,Northampton Saints,Allianz Park,2015-2016
103,Sun 6 Mar,15:00,Leicester Tigers,31-27,Exeter Chiefs,Welford Road,2015-2016
105,Fri 11 Mar,19:45,Harlequins,35-28,Bath Rugby,Twickenham Stoop,2015-2016
106,Sat 12 Mar,13:45,Wasps,36-24,Leicester Tigers,Ricoh Arena,2015-2016
107,Sat 12 Mar,14:00,Northampton Saints,26-11,Sale Sharks,Franklin's Gardens,2015-2016
108,Sat 12 Mar,14:00,Worcester Warriors,28-20,Gloucester Rugby,Sixways,2015-2016
109,Sat 12 Mar,15:00,Exeter Chiefs,32-17,Newcastle Falcons,Sandy Park,2015-2016
110,Sat 12 Mar,15:00,London Irish,16-26,Saracens,Red Bull Arena,2015-2016
112,Fri 18 Mar,19:45,Bath Rugby,21-19,Newcastle Falcons,Recreation Ground,2015-2016
113,Sat 19 Mar,15:00,Harlequins,15-21,Worcester Warriors,Twickenham Stoop,2015-2016
114,Sun 20 Mar,13:00,Exeter Chiefs,20-12,Northampton Saints,Sandy Park,2015-2016
115,Sun 20 Mar,14:00,Wasps,39-12,Sale Sharks,Ricoh Arena,2015-2016
116,Sun 20 Mar,15:00,London Irish,23-18,Gloucester Rugby,Madejski Stadium,2015-2016
117,Sun 20 Mar,15:15,Leicester Tigers,21-13,Saracens,Welford Road,2015-2016
119,Sat 26 Mar,15:15,Saracens,36-18,Exeter Chiefs,Allianz Park,2015-2016
120,Sat 26 Mar,17:30,Gloucester Rugby,12-17,Bath Rugby,Kingsholm,2015-2016
121,Sat 26 Mar,17:30,Worcester Warriors,12-6,London Irish,Sixways,2015-2016
122,Sun 27 Mar,13:00,Sale Sharks,27-20,Leicester Tigers,AJ Bell Stadium,2015-2016
123,Sun 27 Mar,15:00,Newcastle Falcons,20-34,Wasps,Kingston Park,2015-2016
124,Sun 27 Mar,15:15,Northampton Saints,29-23,Harlequins,Franklin's Gardens,2015-2016
126,Fri 1 Apr,19:45,Bath Rugby,10-30,Saracens,Recreation Ground,2015-2016
127,Sat 2 Apr,15:00,Exeter Chiefs,50-12,Worcester Warriors,Sandy Park,2015-2016
128,Sat 2 Apr,15:00,Harlequins,46-25,Newcastle Falcons,Twickenham Stoop,2015-2016
129,Sat 2 Apr,15:00,London Irish,15-30,Sale Sharks,Madejski Stadium,2015-2016
130,Sat 2 Apr,15:15,Leicester Tigers,35-30,Gloucester Rugby,Welford Road,2015-2016
131,Sun 3 Apr,15:00,Wasps,28-6,Northampton Saints,Ricoh Arena,2015-2016
133,Fri 15 Apr,19:45,Gloucester Rugby,16-9,Exeter Chiefs,Kingsholm,2015-2016
134,Sat 16 Apr,15:00,Worcester Warriors,35-54,Wasps,Sixways,2015-2016
135,Sat 16 Apr,15:15,Saracens,22-12,Harlequins,Wembley Stadium,2015-2016
136,Sat 16 Apr,17:30,Northampton Saints,24-30,Leicester Tigers,Franklin's Gardens,2015-2016
137,Sun 17 Apr,14:30,Sale Sharks,29-17,Bath Rugby,AJ Bell Stadium,2015-2016
138,Sun 17 Apr,15:00,Newcastle Falcons,13-6,London Irish,Kingston Park,2015-2016
140,Sat 23 Apr,15:15,Bath Rugby,32-26,Sale Sharks,Recreation Ground,2015-2016
142,Fri 29 Apr,19:45,Sale Sharks,11-12,Gloucester Rugby,AJ Bell Stadium,2015-2016
143,Sat 30 Apr,15:00,Leicester Tigers,31-17,Worcester Warriors,Welford Road,2015-2016
144,Sat 30 Apr,15:15,Northampton Saints,15-14,Bath Rugby,Franklin's Gardens,2015-2016
145,Sun 1 May,13:00,Exeter Chiefs,24-3,Wasps,Sandy Park,2015-2016
146,Sun 1 May,15:00,London Irish,25-32,Harlequins,Madejski Stadium,2015-2016
147,Sun 1 May,15:15,Saracens,23-14,Newcastle Falcons,Allianz Park,2015-2016
149,Sat 7 May,15:30,Bath Rugby,38-27,Leicester Tigers,Recreation Ground,2015-2016
150,Sat 7 May,15:30,Gloucester Rugby,20-28,Northampton Saints,Kingsholm,2015-2016
151,Sat 7 May,15:30,Harlequins,24-62,Exeter Chiefs,Twickenham Stoop,2015-2016
152,Sat 7 May,15:30,Newcastle Falcons,15-21,Sale Sharks,Kingston Park,2015-2016
153,Sat 7 May,15:30,Wasps,38-12,London Irish,Ricoh Arena,2015-2016
154,Sat 7 May,15:30,Worcester Warriors,19-43,Saracens,Sixways,2015-2016
156,Sat 21 May,12:30,Saracens,44-17,Leicester Tigers,Allianz Park,2015-2016
157,Sat 21 May,15:15,Exeter Chiefs,34-23,Wasps,Sandy Park,2015-2016
159,Sat 28 May,15:00,Saracens,28-20,Exeter Chiefs,Twickenham Stadium,2015-2016
1,Fri 2 Sep,19:45,Gloucester Rugby,31-38,Leicester Tigers,Kingsholm,2016-2017
2,Fri 2 Sep,20:00,Newcastle Falcons,19-17,Sale Sharks,Kingston Park,2016-2017
3,Sat 3 Sep,14:00,Saracens,35-3,Worcester Warriors,Twickenham Stadium,2016-2017
4,Sat 3 Sep,15:30,Northampton Saints,14-18,Bath Rugby,Franklin's Gardens,2016-2017
5,Sat 3 Sep,16:30,Harlequins,21-19,Bristol Rugby,Twickenham Stadium,2016-2017
6,Sun 4 Sep,15:00,Wasps,25-20,Exeter Chiefs,Ricoh Arena,2016-2017
8,Fri 9 Sep,19:45,Worcester Warriors,23-23,Gloucester Rugby,Sixways,2016-2017
9,Fri 9 Sep,20:15,Sale Sharks,19-10,Harlequins,AJ Bell Stadium,2016-2017
10,Sat 10 Sep,15:00,Bath Rugby,58-5,Newcastle Falcons,Recreation Ground,2016-2017
11,Sat 10 Sep,15:00,Leicester Tigers,22-34,Wasps,Welford Road,2016-2017
12,Sun 11 Sep,15:00,Bristol Rugby,10-32,Northampton Saints,Ashton Gate,2016-2017
13,Sun 11 Sep,15:00,Exeter Chiefs,13-34,Saracens,Sandy Park,2016-2017
15,Fri 16 Sep,19:45,Sale Sharks,13-26,Gloucester Rugby,AJ Bell Stadium,2016-2017
16,Sat 17 Sep,15:00,Bath Rugby,37-22,Worcester Warriors,Recreation Ground,2016-2017
17,Sat 17 Sep,15:00,Exeter Chiefs,36-25,Harlequins,Sandy Park,2016-2017
18,Sat 17 Sep,15:00,Saracens,27-12,Northampton Saints,Allianz Park,2016-2017
19,Sun 18 Sep,14:30,Wasps,70-22,Bristol Rugby,Ricoh Arena,2016-2017
20,Sun 18 Sep,15:00,Newcastle Falcons,13-14,Leicester Tigers,Kingston Park,2016-2017
22,Fri 23 Sep,19:45,Bristol Rugby,17-41,Exeter Chiefs,Ashton Gate,2016-2017
23,Sat 24 Sep,15:00,Gloucester Rugby,13-18,Newcastle Falcons,Kingsholm,2016-2017
24,Sat 24 Sep,15:00,Harlequins,17-10,Saracens,Twickenham Stoop,2016-2017
25,Sat 24 Sep,15:00,Northampton Saints,15-20,Wasps,Franklin's Gardens,2016-2017
26,Sat 24 Sep,15:00,Worcester Warriors,34-34,Sale Sharks,Sixways,2016-2017
27,Sun 25 Sep,15:00,Leicester Tigers,34-14,Bath Rugby,Welford Road,2016-2017
29,Fri 30 Sep,19:45,Bristol Rugby,0-39,Saracens,Ashton Gate,2016-2017
30,Fri 30 Sep,19:45,Northampton Saints,20-19,Exeter Chiefs,Franklin's Gardens,2016-2017
31,Sat 1 Oct,14:30,Sale Sharks,34-30,Leicester Tigers,AJ Bell Stadium,2016-2017
32,Sat 1 Oct,15:00,Gloucester Rugby,6-15,Bath Rugby,Kingsholm,2016-2017
33,Sun 2 Oct,14:30,Wasps,47-18,Harlequins,Ricoh Arena,2016-2017
34,Sun 2 Oct,15:00,Worcester Warriors,11-9,Newcastle Falcons,Sixways,2016-2017
36,Fri 7 Oct,19:45,Bath Rugby,30-3,Sale Sharks,Recreation Ground,2016-2017
37,Sat 8 Oct,15:00,Exeter Chiefs,27-27,Gloucester Rugby,Sandy Park,2016-2017
38,Sat 8 Oct,15:00,Harlequins,20-9,Northampton Saints,Twickenham Stoop,2016-2017
39,Sat 8 Oct,15:00,Leicester Tigers,34-13,Worcester Warriors,Welford Road,2016-2017
40,Sat 8 Oct,15:00,Newcastle Falcons,19-14,Bristol Rugby,Kingston Park,2016-2017
41,Sun 9 Oct,15:00,Saracens,30-14,Wasps,Allianz Park,2016-2017
43,Fri 28 Oct,19:45,Northampton Saints,23-20,Gloucester Rugby,Franklin's Gardens,2016-2017
44,Sat 29 Oct,15:00,Harlequins,36-14,Worcester Warriors,Twickenham Stoop,2016-2017
45,Sat 29 Oct,15:00,Saracens,24-10,Leicester Tigers,Allianz Park,2016-2017
46,Sun 30 Oct,14:30,Wasps,31-6,Newcastle Falcons,Ricoh Arena,2016-2017
